lga_name,suburb,latitude,longitude
Hume,Somerton,-37.6332889,144.944665
Casey,Somerville,-38.2242212,145.2148736
Mornington Peninsula,Sorrento,-38.3477833,144.746696
Bass Coast,South Dudley,-38.6238593,145.6023644
Greater Geelong,South Geelong,-38.155681,144.3521811
Hobsons Bay,South Kingsville,-37.8352097,144.8786231
Port Phillip,South Melbourne,-37.8338889,144.963937
Whittlesea,South Morang,-37.6377485,145.082419
Melbourne,South Wharf,-37.824548300000004,144.963937
Melbourne,South Yarra,-37.838568,144.9914761
Melbourne,Southbank,-37.824548300000004,144.963937
Moyne,Southern Cross,-38.2179522,142.2337184
Bayside,Southland Centre,-37.964155,145.0658766
Buloke,Speed,-35.4327537,142.4678659
Hobsons Bay,Spotswood,-37.8352097,144.8786231
Greater Bendigo,Spring Gully,-36.7665875,144.2920769
Greater Bendigo,Spring Hill,-37.1335012,144.5656396
Ballarat,Springbank,-37.7122033,143.8671868
Macedon Ranges,Springfield,-37.3550485,144.7192376
Buloke,Springfield,-35.440122099999996,143.1749726
Indigo,Springhurst,-36.1723841,146.4495924
Ballarat,Springmount,-37.3708363,143.9541563
Greater Dandenong,Springvale,-37.9473307,145.1541397
Greater Dandenong,Springvale South,-37.9772192,145.1320653
Nillumbik,St Andrews,-37.5919774,145.2811778
Wellington,Staceys Bridge,-38.5613687,146.6065057
Campaspe,Stanhope,-36.4617737,144.9832134
Campaspe,Stanhope South,-36.4617737,144.9832134
Indigo,Stanley,-36.3851254,146.6962857
Ararat,Stavely,-37.5195066,142.6172766
Northern Grampians,Stawell,-37.0517769,142.7777088
Northern Grampians,Stawell West,-37.0517769,142.7777088
Nillumbik,Steels Creek,-37.6158673,145.3807298
Golden Plains,Steiglitz,-37.9939081,144.1938221
Benalla,Stewarton,-36.4002774,145.958135
East Gippsland,Stirling,-37.4768667,147.8026919
Pyrenees,Stockyard Hill,-37.4528631,143.3474304
Golden Plains,Stonehaven,-38.1180538,144.2047333
Pyrenees,Stoneleigh,-37.4528631,143.3474304
Central Goldfields,Stony Creek,-37.2153546,143.6718623
South Gippsland,Stony Creek,-38.5941498,146.1030672
Colac-Otway,Stonyford,-38.1491105,143.1319209
Wellington,Stradbroke,-38.2064012,147.1464245
Buloke,Straten,-35.3404178,142.7884171
Mitchell,Strath Creek,-37.2372916,145.093449
Campaspe,Strathallan,-36.2037168,144.8951287
Greater Bendigo,Strathdale,-36.7665875,144.2920769
Nillumbik,Strathewen,-37.5885255,145.2148736
