Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2019,December,2 Eastern, Boroondara,"8,139","4,442.7"
2019,December,2 Eastern, East Gippsland,"4,899","10,353.8"
2019,December,2 Eastern, Greater Shepparton,"8,838","13,290.6"
2019,December,2 Eastern, Indigo,599,"3,586.6"
2019,December,2 Eastern, Knox,"11,928","7,249.4"
2019,December,2 Eastern, Latrobe,"14,001","18,529.4"
2019,December,2 Eastern, Manningham,"5,140","4,029.1"
2019,December,2 Eastern, Mansfield,472,"5,143.9"
2019,December,2 Eastern, Maroondah,"8,164","6,886.1"
2019,December,2 Eastern, Mitchell,"4,822","10,464.0"
2019,December,2 Eastern, Moira,"2,544","8,501.3"
2019,December,2 Eastern, Monash,"11,691","5,763.5"
2019,December,2 Eastern, Murrindindi,809,"5,552.5"
2019,December,2 Eastern, South Gippsland,"1,730","5,783.2"
2019,December,2 Eastern, Strathbogie,629,"5,834.3"
2019,December,2 Eastern, Towong,215,"3,559.6"
2019,December,2 Eastern, Wangaratta,"2,522","8,640.8"
2019,December,2 Eastern, Wellington,"4,589","10,340.2"
2019,December,2 Eastern, Whitehorse,"9,222","5,159.5"
2019,December,2 Eastern, Wodonga,"3,744","8,896.7"
2019,December,2 Eastern, Yarra Ranges,"9,185","5,760.0"
2019,December,2 Eastern,Total,"123,022","7,153.7"
2019,December,3 Southern Metro, Bayside,"5,103","4,775.3"
2019,December,3 Southern Metro, Cardinia,"6,813","6,074.4"
2019,December,3 Southern Metro, Casey,"22,370","6,321.5"
2019,December,3 Southern Metro, Frankston,"14,921","10,460.4"
2019,December,3 Southern Metro, Glen Eira,"7,389","4,721.1"
2019,December,3 Southern Metro, Greater Dandenong,"18,921","11,249.0"
2019,December,3 Southern Metro, Kingston,"12,107","7,303.0"
2019,December,3 Southern Metro, Mornington Peninsula,"11,214","6,689.5"
2019,December,3 Southern Metro, Port Phillip,"12,589","10,890.0"
2019,December,3 Southern Metro, Stonnington,"11,754","9,980.6"
2019,December,3 Southern Metro,Total,"123,181","7,665.1"
2019,December,4 Western, Ararat,"1,262","10,654.3"
2019,December,4 Western, Ballarat,"11,743","10,723.7"
2019,December,4 Western, Buloke,301,"4,915.1"
