year,Local Government Area,my_sa4_name,my_sa4_code,Offence Count
2019,Yarriambiack,North West,215,478
2018,Banyule,Melbourne,206,9406
2018,Brimbank,Melbourne,206,19051
2018,Darebin,Melbourne,206,15237
2018,Hobsons Bay,Melbourne,206,6235
2018,Hume,Hume,204,20703
2018,Maribyrnong,Melbourne,206,8435
2018,Melbourne,Melbourne,206,36138
2018,Melton,Melbourne,206,10682
2018,Moonee Valley,Melbourne,206,8617
2018,Moreland,Melbourne,206,14556
2018,Nillumbik,Melbourne,206,2107
2018,Whittlesea,Melbourne,206,15615
2018,Wyndham,Melbourne,206,14461
2018,Yarra,Melbourne,206,13682
2018,Alpine,Hume,204,579
2018,Bass Coast,Latrobe - Gippsland,205,2211
2018,Baw Baw,Latrobe - Gippsland,205,4490
2018,Benalla,Hume,204,1191
2018,Boroondara,Melbourne,206,6942
2018,East Gippsland,Latrobe - Gippsland,205,4509
2018,Greater Shepparton,Shepparton,216,8744
2018,Indigo,Hume,204,451
2018,Knox,Melbourne,206,10808
2018,Latrobe,Latrobe - Gippsland,205,14608
2018,Manningham,Melbourne,206,4362
2018,Mansfield,Hume,204,480
2018,Maroondah,Melbourne,206,8107
2018,Mitchell,Hume,204,4316
2018,Moira,Shepparton,216,2115
2018,Monash,Melbourne,206,10333
2018,Murrindindi,Hume,204,716
2018,South Gippsland,Latrobe - Gippsland,205,1445
2018,Strathbogie,Hume,204,604
2018,Towong,Hume,204,212
2018,Wangaratta,Hume,204,2388
2018,Wellington,Latrobe - Gippsland,205,4004
2018,Whitehorse,Melbourne,206,8193
2018,Wodonga,Hume,204,3208
2018,Yarra Ranges,Melbourne,206,7658
2018,Bayside,Melbourne,206,4686
2018,Cardinia,Melbourne,206,6132
2018,Casey,Melbourne,206,20940
2018,Frankston,Mornington Peninsula,214,14872
2018,Glen Eira,Melbourne,206,6470
2018,Greater Dandenong,Melbourne,206,18294
2018,Kingston,Melbourne,206,11004
2018,Mornington Peninsula,Mornington Peninsula,214,10797
2018,Port Phillip,Melbourne,206,13132
2018,Stonnington,Melbourne,206,10786
2018,Ararat,North West,215,1348
2018,Ballarat,Ballarat,201,10864
2018,Buloke,North West,215,236
2018,Campaspe,Shepparton,216,3807
2018,Central Goldfields,Ballarat,201,1295
2018,Colac-Otway,Geelong,203,1596
2018,Corangamite,Warrnambool and South West,217,733
2018,Gannawarra,North West,215,750
2018,Glenelg,North West,215,1343
2018,Golden Plains,Geelong,203,684
2018,Greater Bendigo,Bendigo,202,10549
2018,Greater Geelong,Geelong,203,20767
2018,Hepburn,Geelong,203,740
2018,Hindmarsh,North West,215,351
2018,Horsham,North West,215,3021
2018,Loddon,Bendigo,202,490
2018,Macedon Ranges,Melbourne,206,2331
2018,Mildura,North West,215,7330
2018,Moorabool,Geelong,203,2441
2018,Mount Alexander,Bendigo,202,880
2018,Moyne,Warrnambool and South West,217,530
2018,Northern Grampians,North West,215,988
2018,Pyrenees,Ballarat,201,501
2018,Queenscliffe,Geelong,203,303
2018,Southern Grampians,Warrnambool and South West,217,1562
2018,Surf Coast,Geelong,203,1186
2018,Swan Hill,North West,215,2526
2018,Warrnambool,Warrnambool and South West,217,3950
2018,West Wimmera,North West,215,166
2018,Yarriambiack,North West,215,503
2017,Banyule,Melbourne,206,9657
2017,Brimbank,Melbourne,206,17143
2017,Darebin,Melbourne,206,14791
2017,Hobsons Bay,Melbourne,206,6070
2017,Hume,Hume,204,20218
2017,Maribyrnong,Melbourne,206,8023
2017,Melbourne,Melbourne,206,36463
2017,Melton,Melbourne,206,10635
2017,Moonee Valley,Melbourne,206,8605
2017,Moreland,Melbourne,206,12748
2017,Nillumbik,Melbourne,206,2325
2017,Whittlesea,Melbourne,206,15580
2017,Wyndham,Melbourne,206,14230
2017,Yarra,Melbourne,206,13282
2017,Alpine,Hume,204,454
2017,Bass Coast,Latrobe - Gippsland,205,2574
2017,Baw Baw,Latrobe - Gippsland,205,3750
2017,Benalla,Hume,204,1296
2017,Boroondara,Melbourne,206,7314
2017,East Gippsland,Latrobe - Gippsland,205,3965
2017,Greater Shepparton,Shepparton,216,8047
2017,Indigo,Hume,204,491
2017,Knox,Melbourne,206,11280
2017,Latrobe,Latrobe - Gippsland,205,13337
2017,Manningham,Melbourne,206,4903
2017,Mansfield,Hume,204,664
2017,Maroondah,Melbourne,206,8288
2017,Mitchell,Hume,204,4401
2017,Moira,Shepparton,216,1926
2017,Monash,Melbourne,206,11115
2017,Murrindindi,Hume,204,717
2017,South Gippsland,Latrobe - Gippsland,205,1442
2017,Strathbogie,Hume,204,567
2017,Towong,Hume,204,217
2017,Wangaratta,Hume,204,2346
2017,Wellington,Latrobe - Gippsland,205,3666
2017,Whitehorse,Melbourne,206,8300
2017,Wodonga,Hume,204,3296
2017,Yarra Ranges,Melbourne,206,8209
2017,Bayside,Melbourne,206,4761
2017,Cardinia,Melbourne,206,5828
2017,Casey,Melbourne,206,21213
2017,Frankston,Mornington Peninsula,214,14276
2017,Glen Eira,Melbourne,206,6821
2017,Greater Dandenong,Melbourne,206,18103
2017,Kingston,Melbourne,206,10709
2017,Mornington Peninsula,Mornington Peninsula,214,10915
2017,Port Phillip,Melbourne,206,12530
2017,Stonnington,Melbourne,206,9882
2017,Ararat,North West,215,1254
2017,Ballarat,Ballarat,201,11588
2017,Buloke,North West,215,199
2017,Campaspe,Shepparton,216,3379
2017,Central Goldfields,Ballarat,201,1452
2017,Colac-Otway,Geelong,203,1743
2017,Corangamite,Warrnambool and South West,217,1029
2017,Gannawarra,North West,215,569
2017,Glenelg,North West,215,1639
2017,Golden Plains,Geelong,203,688
2017,Greater Bendigo,Bendigo,202,9716
2017,Greater Geelong,Geelong,203,22947
2017,Hepburn,Geelong,203,886
2017,Hindmarsh,North West,215,385
2017,Horsham,North West,215,2393
2017,Loddon,Bendigo,202,347
2017,Macedon Ranges,Melbourne,206,2130
2017,Mildura,North West,215,6496
2017,Moorabool,Geelong,203,2146
2017,Mount Alexander,Bendigo,202,1007
2017,Moyne,Warrnambool and South West,217,622
2017,Northern Grampians,North West,215,1054
2017,Pyrenees,Ballarat,201,527
2017,Queenscliffe,Geelong,203,133
2017,Southern Grampians,Warrnambool and South West,217,1279
2017,Surf Coast,Geelong,203,1166
2017,Swan Hill,North West,215,2414
2017,Warrnambool,Warrnambool and South West,217,3483
2017,West Wimmera,North West,215,188
2017,Yarriambiack,North West,215,478
2016,Banyule,Melbourne,206,10074
2016,Brimbank,Melbourne,206,19145
2016,Darebin,Melbourne,206,16853
2016,Hobsons Bay,Melbourne,206,6703
2016,Hume,Hume,204,23653
2016,Maribyrnong,Melbourne,206,9139
2016,Melbourne,Melbourne,206,37855
2016,Melton,Melbourne,206,12053
2016,Moonee Valley,Melbourne,206,9620
2016,Moreland,Melbourne,206,14866
2016,Nillumbik,Melbourne,206,3174
2016,Whittlesea,Melbourne,206,16669
2016,Wyndham,Melbourne,206,15380
2016,Yarra,Melbourne,206,14005
2016,Alpine,Hume,204,387
2016,Bass Coast,Latrobe - Gippsland,205,2948
2016,Baw Baw,Latrobe - Gippsland,205,4143
2016,Benalla,Hume,204,1604
2016,Boroondara,Melbourne,206,8397
2016,East Gippsland,Latrobe - Gippsland,205,4158
2016,Greater Shepparton,Shepparton,216,8399
2016,Indigo,Hume,204,396
2016,Knox,Melbourne,206,12139
2016,Latrobe,Latrobe - Gippsland,205,14480
2016,Manningham,Melbourne,206,5015
2016,Mansfield,Hume,204,618
2016,Maroondah,Melbourne,206,9196
2016,Mitchell,Hume,204,4709
2016,Moira,Shepparton,216,1946
2016,Monash,Melbourne,206,12536
2016,Murrindindi,Hume,204,715
2016,South Gippsland,Latrobe - Gippsland,205,1503
2016,Strathbogie,Hume,204,678
2016,Towong,Hume,204,243
2016,Wangaratta,Hume,204,2594
2016,Wellington,Latrobe - Gippsland,205,4747
2016,Whitehorse,Melbourne,206,7988
2016,Wodonga,Hume,204,3310
2016,Yarra Ranges,Melbourne,206,8917
2016,Bayside,Melbourne,206,5395
2016,Cardinia,Melbourne,206,7231
2016,Casey,Melbourne,206,24079
2016,Frankston,Mornington Peninsula,214,16909
2016,Glen Eira,Melbourne,206,7521
2016,Greater Dandenong,Melbourne,206,20632
2016,Kingston,Melbourne,206,11567
2016,Mornington Peninsula,Mornington Peninsula,214,12006
2016,Port Phillip,Melbourne,206,13635
2016,Stonnington,Melbourne,206,11592
2016,Ararat,North West,215,1179
2016,Ballarat,Ballarat,201,12089
2016,Buloke,North West,215,230
2016,Campaspe,Shepparton,216,3850
2016,Central Goldfields,Ballarat,201,1508
2016,Colac-Otway,Geelong,203,1996
2016,Corangamite,Warrnambool and South West,217,959
2016,Gannawarra,North West,215,612
2016,Glenelg,North West,215,1674
2016,Golden Plains,Geelong,203,865
2016,Greater Bendigo,Bendigo,202,10853
2016,Greater Geelong,Geelong,203,22962
2016,Hepburn,Geelong,203,917
2016,Hindmarsh,North West,215,370
2016,Horsham,North West,215,2824
2016,Loddon,Bendigo,202,478
2016,Macedon Ranges,Melbourne,206,2456
2016,Mildura,North West,215,6518
2016,Moorabool,Geelong,203,2534
2016,Mount Alexander,Bendigo,202,1254
2016,Moyne,Warrnambool and South West,217,646
2016,Northern Grampians,North West,215,1348
2016,Pyrenees,Ballarat,201,561
2016,Queenscliffe,Geelong,203,143
2016,Southern Grampians,Warrnambool and South West,217,1350
2016,Surf Coast,Geelong,203,1352
2016,Swan Hill,North West,215,2224
2016,Warrnambool,Warrnambool and South West,217,3246
2016,West Wimmera,North West,215,187
2016,Yarriambiack,North West,215,440
2015,Banyule,Melbourne,206,9228
2015,Brimbank,Melbourne,206,19229
2015,Darebin,Melbourne,206,15342
2015,Hobsons Bay,Melbourne,206,6896
2015,Hume,Hume,204,20496
2015,Maribyrnong,Melbourne,206,8680
2015,Melbourne,Melbourne,206,34395
2015,Melton,Melbourne,206,11019
2015,Moonee Valley,Melbourne,206,9621
2015,Moreland,Melbourne,206,14045
2015,Nillumbik,Melbourne,206,3022
2015,Whittlesea,Melbourne,206,13733
2015,Wyndham,Melbourne,206,14315
2015,Yarra,Melbourne,206,12954
2015,Alpine,Hume,204,489
2015,Bass Coast,Latrobe - Gippsland,205,2789
2015,Baw Baw,Latrobe - Gippsland,205,3771
2015,Benalla,Hume,204,1150
2015,Boroondara,Melbourne,206,7457
2015,East Gippsland,Latrobe - Gippsland,205,4193
2015,Greater Shepparton,Shepparton,216,7650
2015,Indigo,Hume,204,515
2015,Knox,Melbourne,206,10122
2015,Latrobe,Latrobe - Gippsland,205,13270
2015,Manningham,Melbourne,206,4382
2015,Mansfield,Hume,204,414
2015,Maroondah,Melbourne,206,7780
2015,Mitchell,Hume,204,4118
2015,Moira,Shepparton,216,1538
2015,Monash,Melbourne,206,10097
2015,Murrindindi,Hume,204,647
2015,South Gippsland,Latrobe - Gippsland,205,1343
2015,Strathbogie,Hume,204,506
2015,Towong,Hume,204,194
2015,Wangaratta,Hume,204,2410
2015,Wellington,Latrobe - Gippsland,205,4398
2015,Whitehorse,Melbourne,206,8361
2015,Wodonga,Hume,204,3554
2015,Yarra Ranges,Melbourne,206,7910
2015,Bayside,Melbourne,206,4506
2015,Cardinia,Melbourne,206,7321
2015,Casey,Melbourne,206,21033
2015,Frankston,Mornington Peninsula,214,14832
2015,Glen Eira,Melbourne,206,6488
2015,Greater Dandenong,Melbourne,206,19484
2015,Kingston,Melbourne,206,11022
2015,Mornington Peninsula,Mornington Peninsula,214,11047
2015,Port Phillip,Melbourne,206,12456
2015,Stonnington,Melbourne,206,10106
2015,Ararat,North West,215,1257
2015,Ballarat,Ballarat,201,11307
2015,Buloke,North West,215,222
2015,Campaspe,Shepparton,216,3069
2015,Central Goldfields,Ballarat,201,1264
2015,Colac-Otway,Geelong,203,1677
2015,Corangamite,Warrnambool and South West,217,681
2015,Gannawarra,North West,215,587
2015,Glenelg,North West,215,1583
2015,Golden Plains,Geelong,203,672
2015,Greater Bendigo,Bendigo,202,8413
2015,Greater Geelong,Geelong,203,20854
2015,Hepburn,Geelong,203,825
2015,Hindmarsh,North West,215,219
2015,Horsham,North West,215,3043
2015,Loddon,Bendigo,202,424
2015,Macedon Ranges,Melbourne,206,2126
2015,Mildura,North West,215,6170
2015,Moorabool,Geelong,203,2177
2015,Mount Alexander,Bendigo,202,961
2015,Moyne,Warrnambool and South West,217,586
2015,Northern Grampians,North West,215,1150
2015,Pyrenees,Ballarat,201,496
2015,Queenscliffe,Geelong,203,175
2015,Southern Grampians,Warrnambool and South West,217,1149
2015,Surf Coast,Geelong,203,1540
2015,Swan Hill,North West,215,2269
2015,Warrnambool,Warrnambool and South West,217,2798
2015,West Wimmera,North West,215,157
2015,Yarriambiack,North West,215,459
2014,Banyule,Melbourne,206,8933
2014,Brimbank,Melbourne,206,17368
2014,Darebin,Melbourne,206,14482
2014,Hobsons Bay,Melbourne,206,7025
2014,Hume,Hume,204,17760
2014,Maribyrnong,Melbourne,206,8155
2014,Melbourne,Melbourne,206,33040
2014,Melton,Melbourne,206,9827
2014,Moonee Valley,Melbourne,206,8484
2014,Moreland,Melbourne,206,12696
2014,Nillumbik,Melbourne,206,2050
2014,Whittlesea,Melbourne,206,13590
2014,Wyndham,Melbourne,206,12974
2014,Yarra,Melbourne,206,12859
2014,Alpine,Hume,204,467
2014,Bass Coast,Latrobe - Gippsland,205,2572
2014,Baw Baw,Latrobe - Gippsland,205,3810
2014,Benalla,Hume,204,1164
2014,Boroondara,Melbourne,206,6789
2014,East Gippsland,Latrobe - Gippsland,205,3915
