year,Local Government Area,my_sa4_name,my_sa4_code,Offence Count
2012,Golden Plains,Geelong,203,489
2012,Greater Bendigo,Bendigo,202,7206
2012,Greater Geelong,Geelong,203,15975
2012,Hepburn,Geelong,203,687
2012,Hindmarsh,North West,215,246
2012,Horsham,North West,215,2813
2012,Loddon,Bendigo,202,391
2012,Macedon Ranges,Melbourne,206,1641
2012,Mildura,North West,215,5437
2012,Moorabool,Geelong,203,1613
2012,Mount Alexander,Bendigo,202,818
2012,Moyne,Warrnambool and South West,217,637
2012,Northern Grampians,North West,215,911
2012,Pyrenees,Ballarat,201,310
2012,Queenscliffe,Geelong,203,123
2012,Southern Grampians,Warrnambool and South West,217,1002
2012,Surf Coast,Geelong,203,1387
2012,Swan Hill,North West,215,1797
2012,Warrnambool,Warrnambool and South West,217,2317
2012,West Wimmera,North West,215,167
2012,Yarriambiack,North West,215,369
2011,Banyule,Melbourne,206,6781
2011,Brimbank,Melbourne,206,16886
2011,Darebin,Melbourne,206,11398
2011,Hobsons Bay,Melbourne,206,5707
2011,Hume,Hume,204,13930
2011,Maribyrnong,Melbourne,206,8641
2011,Melbourne,Melbourne,206,29659
2011,Melton,Melbourne,206,7395
2011,Moonee Valley,Melbourne,206,7244
2011,Moreland,Melbourne,206,10931
2011,Nillumbik,Melbourne,206,1996
2011,Whittlesea,Melbourne,206,10487
2011,Wyndham,Melbourne,206,11298
2011,Yarra,Melbourne,206,10437
2011,Alpine,Hume,204,357
2011,Bass Coast,Latrobe - Gippsland,205,1970
2011,Baw Baw,Latrobe - Gippsland,205,2217
2011,Benalla,Hume,204,925
2011,Boroondara,Melbourne,206,5901
2011,East Gippsland,Latrobe - Gippsland,205,3072
2011,Greater Shepparton,Shepparton,216,5881
2011,Indigo,Hume,204,457
2011,Knox,Melbourne,206,7990
2011,Latrobe,Latrobe - Gippsland,205,8530
2011,Manningham,Melbourne,206,4141
2011,Mansfield,Hume,204,311
2011,Maroondah,Melbourne,206,5967
2011,Mitchell,Hume,204,2590
2011,Moira,Shepparton,216,1515
2011,Monash,Melbourne,206,7423
2011,Murrindindi,Hume,204,555
2011,South Gippsland,Latrobe - Gippsland,205,1032
2011,Strathbogie,Hume,204,459
2011,Towong,Hume,204,227
2011,Wangaratta,Hume,204,2167
2011,Wellington,Latrobe - Gippsland,205,2829
2011,Whitehorse,Melbourne,206,6101
2011,Wodonga,Hume,204,2965
2011,Yarra Ranges,Melbourne,206,5981
2011,Bayside,Melbourne,206,3598
2011,Cardinia,Melbourne,206,4233
2011,Casey,Melbourne,206,14381
2011,Frankston,Mornington Peninsula,214,11515
2011,Glen Eira,Melbourne,206,5505
2011,Greater Dandenong,Melbourne,206,13900
2011,Kingston,Melbourne,206,8585
2011,Mornington Peninsula,Mornington Peninsula,214,8637
2011,Port Phillip,Melbourne,206,11093
2011,Stonnington,Melbourne,206,8362
2011,Ararat,North West,215,961
2011,Ballarat,Ballarat,201,9494
2011,Buloke,North West,215,314
2011,Campaspe,Shepparton,216,2247
2011,Central Goldfields,Ballarat,201,917
2011,Colac-Otway,Geelong,203,1371
2011,Corangamite,Warrnambool and South West,217,650
2011,Gannawarra,North West,215,597
2011,Glenelg,North West,215,1411
2011,Golden Plains,Geelong,203,382
2011,Greater Bendigo,Bendigo,202,6087
2011,Greater Geelong,Geelong,203,14545
2011,Hepburn,Geelong,203,660
2011,Hindmarsh,North West,215,219
2011,Horsham,North West,215,1830
2011,Loddon,Bendigo,202,435
2011,Macedon Ranges,Melbourne,206,1418
2011,Mildura,North West,215,5532
2011,Moorabool,Geelong,203,1305
2011,Mount Alexander,Bendigo,202,980
2011,Moyne,Warrnambool and South West,217,523
2011,Northern Grampians,North West,215,993
2011,Pyrenees,Ballarat,201,240
2011,Queenscliffe,Geelong,203,300
2011,Southern Grampians,Warrnambool and South West,217,1024
2011,Surf Coast,Geelong,203,1072
2011,Swan Hill,North West,215,1825
2011,Warrnambool,Warrnambool and South West,217,2813
2011,West Wimmera,North West,215,116
2011,Yarriambiack,North West,215,354
